id,name
0,Forever 25
1,Forever 21
2,Ecko Unlimited
3,Brooks Brothers
4,Lilli Ann
5,Nice Collective
6,Real Gold
7,SABA
8,Calvin Klein
9,Forever Lazy
10,SABA
11,Ecko Unlimited
12,Ecko Unlimited
13,Countess Mara
14,Mataano
15,Merc Clothing
16,Max Studio
17,Dollie & Me
18,Forever Lazy
19,Converse
20,Mataano
21,Max Studio
22,Columbia Sportswear
23,Baby Gap
24,JNCO
25,Cross Colours
26,Ecko Unlimited
27,Lee
28,Hamilton Shirts
29,Columbia Sportswear
30,Mossimo
31,Koalapop
32,JNCO
33,Ex-Boyfriend
34,Rip Curl
35,Real Gold
36,Cherokee Inc.
37,Mohito
38,Ex-Boyfriend
39,Forever Lazy
40,Mossimo
41,Converse
42,JNCO
43,Columbia Sportswear
44,Columbia Sportswear
45,TNT
46,Ex-Boyfriend
47,Mossimo
48,Nice Collective
49,JNCO
50,TNT
51,Marchesa
52,Lilli Ann
53,Loyandford
54,JNCO
55,TNT
56,Cherokee Inc.
57,Lilli Ann
58,Calvin Klein
59,Levis
60,Tommy Hilfinger
61,Angels Jeanswear
62,Hamilton Shirts
63,Max Studio
64,Merc Clothing
65,Ex-Boyfriend
66,Acorn Stores
67,Bujo
68,Nice Collective
69,Calvin Klein
70,Koton
71,Ecko Unlimited
72,H&M
73,Converse
74,Countess Mara
75,Mataano
76,Mataano
77,Converse
78,Six Deuce
79,Calvin Klein
80,Nice Collective
81,DKNY
82,Cross Colours
83,JNCO
84,SABA
85,Marchesa
86,Rip Curl
87,Old Navy
88,Brooks Brothers
89,Cherokee Inc.
90,Baby Gap
91,SABA
92,Guess
93,Forever 21
94,Cherokee Inc.
95,Angels Jeanswear
96,SABA
97,Dollie & Me
98,DKNY
99,Andrew Marc
100,Mataano
101,Mossimo
102,JNCO
103,Avirex
104,TNT
105,H&M
106,Real Gold
107,Lilli Ann
108,Rip Curl
109,Mohito
110,Guess
111,Forever Lazy
112,Old Navy
113,Converse
114,Angels Jeanswear
115,Cross Colours
116,Dollie & Me
117,JNCO
118,Converse
119,Ex-Boyfriend
120,Baby Gap
121,H&M
122,Tommy Hilfinger
123,Angels Jeanswear
124,Dollie & Me
125,Ex-Boyfriend
126,JNCO
127,DKNY
128,Koalapop
129,Six Deuce
130,DKNY
131,Ecko Unlimited
132,JNCO
133,C&A
134,Avirex
135,DKNY
136,Max Studio
137,Guess
138,Calvin Klein
139,Hamilton Shirts
140,Healthtex
141,Columbia Sportswear
142,Real Gold
143,Karen Kane
144,Ethika
145,Acorn Stores
146,Lee
147,DKNY
148,Izod
149,Karen Kane
150,Cross Colours
151,Forever 21
152,EMEL Fashion
153,Real Gold
154,Mohito
155,JNCO
156,Mossimo
157,Koalapop
158,Calvin Klein
159,C&A
160,Mossimo
161,Guess
162,JNCO
163,Angels Jeanswear
164,Rip Curl
165,Countess Mara
166,Avirex
167,C&A
168,Calvin Klein
169,Lilli Ann
170,EMEL Fashion
171,Angels Jeanswear
172,Forever Lazy
173,Max Studio
174,Lilli Ann
175,Six Deuce
176,Loyandford
177,Max Studio
178,Ecko Unlimited
179,Koalapop
180,Andrew Marc
181,Baby Gap
182,Brooks Brothers
183,Karen Kane
184,Marchesa
185,Healthtex
186,Angels Jeanswear
187,Cherokee Inc.
188,Levis
189,Columbia Sportswear
190,Mohito
191,Ex-Boyfriend
192,Marchesa
193,Forever 21
194,Lee
195,Forever 21
196,Izod
197,Lee
198,Forever 21
199,Nudie Jeans
200,Mohito
201,Guess
202,Marchesa
203,Lee
204,DKNY
205,Old Navy
206,Marchesa
207,Calvin Klein
208,Andrew Marc
209,Forever Lazy
210,Ethika
211,Mataano
212,Old Navy
213,Merc Clothing
214,Baby Gap
215,Guess
216,Izod
217,Guess
218,Forever 21
219,Cherokee Inc.
220,Avirex
221,Rip Curl
222,Mohito
223,Max Studio
224,Ex-Boyfriend
225,H&M
226,Forever 21
227,Izod
228,Ethika
229,Avirex
230,Hamilton Shirts
